variant,top_k,retrieval_cost,rerank_cost,generation_cost,total_cost,cost_usd,retrieval_latency_ms,rerank_latency_ms,generation_latency_ms,total_latency_ms,latency_ms,recall_at_k,mrr,ndcg_at_k,context_precision,context_recall,faithfulness,answer_term_coverage,hallucination_risk,pareto_optimal
lexical_k3,3.0,1.08e-06,0.0,1.9125714285714287e-05,2.0205714285714286e-05,2.0205714285714286e-05,178.1,0.0,180.0,358.1,358.1,0.8244047619047619,0.8541666666666666,0.8033357048350809,0.3333333333333333,0.8244047619047619,0.9884941221202387,0.9053571428571429,0.04060382062184485,True
lexical_k5,5.0,1.08e-06,0.0,2.1944285714285715e-05,2.3024285714285715e-05,2.3024285714285715e-05,187.1,0.0,180.0,367.1,367.1,0.8690476190476191,0.8541666666666666,0.8274623198967402,0.22142857142857145,0.8690476190476191,0.9884941221202387,0.9053571428571429,0.04060382062184485,True
lexical_k5_rerank,5.0,1.08e-06,2e-05,2.206142857142857e-05,4.314142857142857e-05,4.314142857142857e-05,187.1,90.0,180.0,457.1,457.1,0.8839285714285714,0.8571428571428571,0.8401635854666785,0.2285714285714286,0.8839285714285714,0.9866426800201966,0.8946428571428572,0.04555725798687224,True
hybrid_k5_rerank,5.0,1.08e-06,2e-05,5.729571428571429e-05,7.837571428571428e-05,7.837571428571428e-05,187.1,90.0,310.0,587.1,587.1,0.8839285714285714,0.8660714285714286,0.8481876829181134,0.2285714285714286,0.8839285714285714,0.9980527279559701,0.8910714285714286,0.03939072682861947,True
hybrid_k8_rerank,8.0,1.08e-06,3.2e-05,6.391071428571429e-05,9.699071428571428e-05,9.699071428571428e-05,200.6,144.0,310.0,654.6,654.6,0.9166666666666666,0.8683035714285714,0.8621765524357942,0.15178571428571427,0.9166666666666666,0.9980527279559701,0.8910714285714286,0.03939072682861947,True
hybrid_k10_large,10.0,1.08e-06,4e-05,0.0001554607142857143,0.00019654071428571427,0.00019654071428571427,209.6,180.0,520.0,909.6,909.6,0.9166666666666666,0.8683035714285714,0.8621765524357942,0.12142857142857143,0.9166666666666666,1.0,0.8910714285714286,0.03812500000000001,True
dense_k5,5.0,2.28e-06,0.0,2.1781428571428573e-05,2.406142857142857e-05,2.406142857142857e-05,199.1,0.0,180.0,379.1,379.1,0.7886904761904762,0.7086309523809524,0.7075949748064025,0.19285714285714287,0.7886904761904762,0.9881858160545797,0.7422619047619048,0.09788755289785657,False
dense_k5_rerank,5.0,2.28e-06,2e-05,2.2112857142857143e-05,4.4392857142857144e-05,4.4392857142857144e-05,199.1,90.0,180.0,469.1,469.1,0.8065476190476191,0.7886904761904762,0.7651637103092792,0.19642857142857145,0.8065476190476191,0.9873705169491018,0.8565476190476191,0.05841749731641717,False
hybrid_dense_k5_rerank,5.0,2.28e-06,2e-05,5.7430714285714287e-05,7.971071428571428e-05,7.971071428571428e-05,203.1,90.0,310.0,603.1,603.1,0.8541666666666666,0.8333333333333334,0.8143837268549787,0.2142857142857143,0.8541666666666666,0.9980705928355861,0.8982142857142857,0.03687911465686906,True
